GENE1,GENE2,WEIGHT
YWHAE,HNRNPUL1,0.3923854682104276
YWHAE,PAFAH1B3,0.1188583092932712
YWHAE,ERH,0.21480314471085415
YWHAE,TP53,0.673841401230638
YWHAE,MAZ,0.47166900800009465
YWHAE,MDM4,0.2432880126061765
YWHAE,SMARCC1,0.17921862784238385
YWHAE,GNL3,0.13412220412217452
YWHAE,NPM1,0.14008366571861924
YWHAE,KAT5,0.24976730492817792
YWHAE,UBE2I,0.11139553467132964
YWHAE,HDAC1,0.1428866664907392
YWHAE,BTBD2,0.14690262989054176
YWHAE,TK1,0.27213724825519764
YWHAE,ARIH2,0.1584385503360225
BCR,HNRNPUL1,0.10310871594161516
BCR,CDC42,0.18805035073609275
BCR,DVL2,0.21197461770653023
BCR,TP53,0.6721662883280204
BCR,MAZ,0.3833886617961021
BCR,SMARCC1,0.15610718764217824
BCR,KAT5,0.18729461902230915
BCR,ABL1,0.4671453564683143
BCR,HDAC1,0.10331187646351753
BCR,BTBD2,0.15560859636574148
BCR,CDKN1A,0.11676856042686835
BCR,ARIH2,0.1435373957297425
BCR,HSPB1,0.13211005500469605
BCR,PCDHA4,0.11666803981857883
BCR,ATM,0.10286726024785853
HNRNPUL1,DAXX,0.18850945583019635
HNRNPUL1,PAFAH1B3,0.17419159726603117
HNRNPUL1,CDC42,0.1047518440957261
HNRNPUL1,ERH,0.1437754752595872
HNRNPUL1,DVL2,0.1985666051721773
HNRNPUL1,TP53,0.789379094773739
HNRNPUL1,PNP,0.1245772230043451
HNRNPUL1,MAZ,0.6194808439445848
HNRNPUL1,SMARCC1,0.34488306750993974
HNRNPUL1,EP300,0.10152121380197354
HNRNPUL1,CDKN2C,0.10022526023024433
HNRNPUL1,ABL1,0.2487685080160044
HNRNPUL1,XRCC1,0.20696938478794435
HNRNPUL1,HDAC1,0.1538166645428063
HNRNPUL1,BTBD2,0.47676082143800314
HNRNPUL1,CDKN1A,0.1108402431741098
HNRNPUL1,PML,0.10313249195603583
HNRNPUL1,TK1,0.11917404961920992
HNRNPUL1,ARIH2,0.15127657153738971
HNRNPUL1,PCDHA4,0.10430673165814458
DAXX,CREBBP,0.38950053294193643
DAXX,PAFAH1B3,0.12422274715974337
DAXX,DVL2,0.14043624369726898
DAXX,TP53BP1,0.10073632834866987
DAXX,TP53,0.6303899461306287
DAXX,PNP,0.13187899852231186
DAXX,MAZ,0.1005702836153776
DAXX,MDM2,0.3149980856435953
DAXX,SMARCC1,0.21498075558105292
DAXX,GNL3,0.10583182139977096
DAXX,ABL1,0.2776117462922062
DAXX,UBE2I,0.29858629004999476
DAXX,HDAC1,0.46773780715334234
DAXX,CDKN1A,0.18051941630148824
DAXX,PML,0.5044120696206426
DAXX,TK1,0.14906169468538957
DAXX,HSPB1,0.14379310835300124
DAXX,PCDHA4,0.10234082607219772
CREBBP,ATF3,0.16831351010337658
CREBBP,DVL2,0.12439218183740537
CREBBP,TP53BP2,0.19355755144071088
CREBBP,TP53,0.8871735770471267
CREBBP,PNP,0.22491150497523155
CREBBP,SP1,0.2981957642018179
CREBBP,MDM2,0.12902955677410233
CREBBP,EP300,0.4801069161952335
CREBBP,NPM1,0.13669309861349319
CREBBP,ABL1,0.2282808213913203
CREBBP,HDAC1,0.21576405662186307
CREBBP,CDKN1A,0.15994017818514145
CREBBP,PML,0.14821199567826876
CREBBP,ATM,0.20151238309085676
GSTM4,TP53,0.7014522231760664
GSTM4,KAT5,0.11609948752912568
GSTM4,BTBD2,0.10950413793216635
GSTM4,HSPB1,0.17278950042105978
PAFAH1B3,ERH,0.1473739106975462
PAFAH1B3,DVL2,0.18079857715446876
PAFAH1B3,TP53,0.7767350955097949
PAFAH1B3,PNP,0.11011748893589415
PAFAH1B3,MAZ,0.24763850023633394
PAFAH1B3,SMARCC1,0.1381822656087167
PAFAH1B3,NPM1,0.2594724677616767
PAFAH1B3,KAT5,0.10213290428596032
PAFAH1B3,XRCC1,0.379128929998826
PAFAH1B3,UBE2I,0.13557112947071706
PAFAH1B3,HDAC1,0.5141398248781754
PAFAH1B3,BTBD2,0.12014973367558986
PAFAH1B3,TK1,0.6628584442271501
PAFAH1B3,HSPB1,0.15990254210562185
ATF3,TP53BP2,0.20874875520614664
ATF3,TP53,0.7179300428625159
ATF3,PNP,0.2688170151877349
ATF3,STX5,0.2201266486469037
ATF3,MDM2,0.501538639360459
ATF3,SAT1,0.7992533437353445
ATF3,CCL18,0.20396279850386242
ATF3,KAT5,0.16934345619774452
ATF3,ABL1,0.12051924003671693
ATF3,CDKN1A,0.9062394199066197
ATF3,PML,0.18053734285840037
ATF3,HSPB1,0.2669078019021564
CDC42,TP53,0.6092475632434701
CDC42,PNP,0.23860195348613283
CDC42,STX5,0.11315073724738427
CDC42,MAZ,0.13823536866215097
